beta,E,C,m,m2,m_s,m2_s,sus,n
2.020202,-0.859584,0.464327,-0.000000,0.014206,-0.000000,0.012299,0.028698,143.461402
1.010101,-0.641442,0.328975,-0.000000,0.004165,-0.000000,0.005214,0.004207,57.628543
0.673401,-0.520665,0.176366,0.000000,0.003281,-0.000001,0.004310,0.002209,33.213832
0.505051,-0.454245,0.105086,-0.000001,0.003097,-0.000003,0.004095,0.001564,22.763487
0.404040,-0.411389,0.067704,0.000004,0.003086,-0.000001,0.004000,0.001247,17.102593
0.336700,-0.384098,0.046368,0.000007,0.003123,-0.000000,0.003974,0.001052,13.664071
0.288600,-0.364263,0.034141,0.000007,0.003172,0.000012,0.003962,0.000915,11.345701
0.252525,-0.349780,0.025982,-0.000009,0.003233,-0.000015,0.003941,0.000816,9.693409
0.224467,-0.338966,0.020235,0.000003,0.003272,-0.000003,0.003950,0.000734,8.461019
0.202020,-0.329199,0.016845,0.000009,0.003309,0.000004,0.003932,0.000668,7.488633
